Station_ID,year,cumumlate_thermal_RGP
56280,1986,382.2402912264783
56280,1987,472.007054448448
56280,1988,426.50022410143873
56280,1989,470.5060218072675
56280,1990,518.1616602449858
56491,1986,555.0287400102145
56491,1987,531.9410558701292
56491,1988,577.5044920613667
56491,1989,516.4564350986874
56491,1990,505.0286312388952
56844,1986,405.1739996682831
56844,1987,459.41957533631023
56844,1988,316.029009878815
56844,1989,404.2980641314936
56844,1990,344.861489384764
56844,1991,405.5596867063622
56946,1986,388.4136345925583
56946,1987,374.5829291629043
56946,1988,380.4299513793487
56946,1991,463.79009213830363
56946,1992,476.8573640067015
57206,1986,394.37888012346286
57206,1987,531.674093148008
57206,1988,485.39924326291674
57206,1989,512.6185475305308
57206,1990,533.595760752803
57249,1989,380.7471926525033
57249,1990,404.7064114872657
57249,1991,418.29756569884626
57249,1992,370.85593391235983
57249,1993,334.4641299953574
57249,1997,511.9109785987446
57249,1998,444.1010936019125
57249,1999,487.7058080823026
57249,2000,358.5169174297799
57249,2001,377.4469521906844
57251,1991,472.6638759776077
57251,1992,364.7856611998686
57251,1993,391.306427606511
57251,1994,582.423700713387
57251,1995,524.476567538448
57251,1996,421.6931033269848
57251,1997,604.9733003495703
57251,1998,516.0988696106537
57251,1999,535.9204162169874
57251,2000,447.9607146062652
57251,2001,453.02261121860965
57259,1988,337.382165195864
57259,1989,340.6278949144866
57259,1990,453.36750326262563
57259,1991,336.85664826820283
57259,1992,338.56951409664254
57259,1993,300.5182492747834
57259,1994,371.75352098783117
57259,1995,418.28093972727515
57259,1996,375.05818750462544
57259,1997,546.0270549407225
57259,1998,451.60562508354457
57259,1999,416.5295542371802
57259,2000,436.8831909287541
57268,1989,369.0595909215044
57268,1990,597.6646516277395
57268,1991,517.6066927278679
57268,1992,414.3037058457151
57268,1993,395.2694944494667
57268,1994,404.6180601958281
57268,1995,570.2352047730834
57268,1996,474.27009610555376
57268,1997,642.6410637092932
57268,1998,600.9972077859786
57268,1999,593.624672658549
57268,2000,426.2747943711268
57268,2001,440.3809448124284
57313,1986,508.5631435100508
57313,1987,482.9128538189462
57313,1988,553.0043647113386
57313,1989,582.9942834464564
57313,1990,597.5112422135954
57378,1987,474.8111684107302
57378,1988,387.12865775130905
57378,1989,366.06249869346243
57378,1990,485.49302842775546
57378,1991,428.79590582544944
57378,1992,424.4388009377724
57378,1993,423.50211412148377
57378,1994,563.9198860551753
57378,1995,556.5097115290326
57378,1996,402.25912166216585
57378,1997,550.7236583090685
57378,1998,517.874192436041
57378,1999,538.6835847155277
57378,2000,441.60427816497486
57381,1987,475.66036200946024
57381,1988,367.3308205071429
57381,1989,420.61724145112794
57381,1990,602.7930898840447
57381,1991,554.3685176915261
57381,1992,568.9703885058518
57381,1993,459.1262454802038
57381,1994,455.52323347385817
57381,1995,449.1998929524915
57381,1996,633.0735403773407
57420,1986,438.0180885446705
57420,1987,412.0115509343559
57420,1988,508.81128754770407
57420,1989,400.98860321443067
57420,1990,545.317263501494
57460,1989,474.94738281007955
57460,1994,701.1451901790056
57460,1995,703.9584322397436
57476,1989,503.3207815833146
57476,1999,620.6845696486758
57482,1992,384.9690783290028
57482,1993,460.8350128752241
57482,1994,528.1981438180752
57482,1996,529.3462144732192
57482,1997,477.76235225024567
57482,1998,522.2494607849445
57482,1999,533.589278568068
57517,1987,548.729612962879
57517,1990,575.4274208153745
57517,1991,549.7319181097241
57517,1992,584.4405256608474
57517,1993,524.8765638034206
57523,1988,664.586728721658
57523,1989,543.9635591263301
57523,1990,605.5729392453154
57523,1991,518.9211553617627
57523,1992,562.9904127257348
57545,1985,444.5717592672747
57545,1986,377.2556280419551
57545,1987,535.5899346744922
57545,1988,369.2238800732117
57545,1989,397.73807440191064
57545,1990,462.8596878135003
57554,1986,510.9471910868531
57554,1987,572.5603231201743
57554,1988,483.9563912868918
57554,1989,431.65970763065997
57581,1994,581.5789512929532
57581,1995,502.16865792098326
57581,1996,439.8852377184185
57581,1997,588.4752247061897
57581,1998,600.6659818044263
57590,1991,610.7769481599104
57590,1998,607.1097020995925
57646,1990,652.2911662064832
57696,1990,322.2767887498186
57717,1987,459.9069675181704
57717,1988,377.7449442210021
57717,1989,486.62726947680983
57717,1991,462.13428226636216
57717,1992,496.1713137087828
57717,1993,375.4041744644136
57749,1988,635.8557704207418
57749,1989,634.1116143795267
57749,1990,648.7964752440131
57749,1993,520.560689226368
57749,1998,691.3733449614127
57749,1999,583.4503238801359
57789,1989,339.8813466330933
57841,1990,545.4539574181807
57841,1993,572.9361568846962
57841,1994,560.3083447520944
57841,1995,524.4095808955914
57841,1996,548.4942809999628
57841,1997,537.3709496501616
57841,1999,541.2770930150318
57841,2004,535.2499449446904
57841,2005,523.9202482397194
57841,2010,664.4088605506894
57889,1988,435.33213239040623
57889,1989,445.77270079551687
57889,1990,516.6829238947669
57889,1991,490.47297697338075
57889,1992,469.276565710914
57889,1993,484.96134770799256
57889,1994,468.8779253826738
57889,1995,478.28865759173567
57912,1988,318.3493877878178
57912,1989,369.78112988675235
57912,1990,415.2710384162635
57912,1991,351.68225545005305
57912,1993,436.07807345914244
57926,1987,473.3177291839281
57926,1987,310.99271071271215
57926,1988,504.3802169725444
57926,1988,324.62405981127716
57926,1988,438.00196386591966
57926,1989,400.5674731432687
57926,1989,340.5198498915001
57926,1989,630.2710702397767
57926,1990,583.011824883339
57926,1991,575.7156272811379
57926,1992,475.19973510108537
57926,1993,596.8060798671688
58027,1990,531.5714312765161
58027,1991,446.7657563947607
58027,1992,441.3539580434715
58027,1995,499.48059681492987
58027,1996,411.81040093524405
58027,1997,465.39191389252414
58141,1986,365.26399733265663
58141,1987,513.2857668722681
58141,1988,408.3692263521165
58141,1989,437.45109851159447
58141,1990,582.1251134464154
58141,1991,452.40656408872803
58141,1992,509.93185466674964
58141,1993,422.208620596567
58141,1994,572.5379529872463
58141,1995,462.55952412204687
58141,1996,401.4852155391474
58146,1990,724.2783294834488
58146,1991,515.7751121248655
58146,1992,522.3365822654677
58146,1993,500.17190521086417
58215,1990,546.3334880909789
58240,1986,581.4184427541418
58240,1987,627.356246712417
58240,1988,501.30723108953566
58240,1989,556.1144717212106
58240,1990,638.3993403887781
58240,1991,578.2696766585535
58240,1992,572.0955716764767
58240,1993,459.5972866679824
58240,1995,615.3503541238003
58240,1996,622.1748796034872
58240,1998,741.4761904747061
58240,1999,542.110338901908
58240,2000,588.3422089627713
58243,1986,574.4702018338478
58243,1987,520.783544475345
58243,1988,537.8612422285311
58243,1989,525.170473085813
58243,1990,579.8469960314276
58243,1991,521.8148929422133
58243,1992,530.2643726927122
58243,1993,504.4346994016814
58243,1994,633.2538577141618
58243,1995,561.9285411223583
58243,1996,480.1146075155464
58243,1997,544.0850539474311
58250,1986,494.32190810818076
58250,1987,519.2398263928224
58250,1988,507.81318643925164
58250,1989,505.7577586458992
58250,1990,604.2713031863074
58250,1991,508.6521021844242
58250,1992,531.2892688734486
58311,1989,451.23649062538465
58311,1990,591.1058766016081
58311,1991,577.6771722103641
58311,1994,707.7793616026934
58311,1995,654.9352403333461
58311,1996,438.60739552222185
58311,1997,664.5335528429612
58311,1998,629.9139907223099
58311,1999,608.1707908608809
58311,2000,627.2252137091954
58311,2001,471.4388447257487
58311,2004,631.887797863339
58448,1991,479.38502700424254
58448,1994,580.6997438174556
58448,1996,526.8505877646184
58529,1995,302.00809593371673
58824,1984,417.5214884568685
58824,1984,254.65457261347922
58824,1985,305.05538389580676
58824,1985,458.19276833561423
58824,1986,248.677424428556
58824,1986,535.9315078844742
58824,1987,482.54916127058107
58824,1987,270.4150888181944
58824,1988,238.52116880516147
58824,1988,442.9959271762557
58824,1989,333.0661454451936
58824,1989,502.9340019368284
58836,1985,376.2163509966616
58836,1986,304.0071771361075
58836,1987,338.1724347235626
58836,1990,333.5542276056947
58836,1991,256.6940629740348
59205,1986,406.4064747900806
59205,1987,507.30442993049144
59205,1988,375.8344740458172
59205,1989,448.22228213236815
59205,1990,558.7700435968055
59205,1991,392.8408179552834
59205,1992,390.70111936586875
59313,1986,383.4131780813187
59313,1986,605.8447197848672
59313,1987,585.0670546041837
59313,1987,493.2466595749371
59313,1988,624.4347646159653
59313,1989,528.0761589424724
59313,1989,394.1265805718952
59313,1990,526.5171726141385
59313,1990,448.2144737008227
59313,1993,600.1926719176145
59313,1993,449.7052137156722
59757,1985,529.4348764359357
59757,1986,549.0749611712338
59757,1987,618.95317820314
59757,1988,584.9375457850068
59757,1990,607.3955813729591
59757,1991,570.9175615322675
59849,1987,503.81533321253204
59849,1988,462.11068742199546
59849,1989,476.85233006377325
59849,1990,499.93914191745404
59849,1991,471.483179112308
59849,1992,419.165033951993
