station ID,sta province,sta name,lat,lon,alt,yearlyGT8,yearlyTem,cluster3_yearlyTem,cluster6_yearlyTem,cluster9_yearlyTem,cluster12_yearlyTem,cluster3_yearlyGT8,cluster6_yearlyGT8,cluster9_yearlyGT8,cluster12_yearlyGT8,cluster3_YTem+lat,cluster6_YTem+lat,cluster9_YTem+lat,cluster12_YTem+lat,cluster3_YGT8+lat,cluster6_YGT8+lat,cluster9_YGT8+lat,cluster12_YGT8+lat
56280,四川,名山,30.08,103.12,691.3,2959.5583242059124,5709.171686746987,1,0,7,11,0,3,0,9,2,4,7,8,0,1,6,4
56491,四川,宜宾,28.7,104.57,287.0,3690.611111111112,6562.577777777785,0,2,0,10,1,0,5,11,0,2,8,6,1,5,8,6
56844,云南,芒市,24.43,98.58,913.8,4331.631503285854,7251.631503285871,0,4,6,6,1,5,1,3,1,0,5,7,1,0,1,5
56946,云南,耿马,23.55,99.4,1104.9,4165.097754654984,7084.812910733847,0,4,6,6,1,5,1,10,1,0,5,7,1,0,1,5
57206,四川,广元,32.43,105.85,513.8,3260.523411829131,6004.9046412924345,1,3,5,9,0,1,3,4,2,4,0,10,0,3,0,1
57249,湖北,竹溪,32.32,109.68,448.2,2752.7516429353796,5205.437705366934,1,0,3,8,0,3,0,6,2,5,3,0,0,3,4,8
57251,湖北,郧西,33.0,110.42,249.1,3085.169496166476,5591.905941949634,1,0,7,11,0,3,7,1,2,5,3,0,0,3,4,9
57259,湖北,房县,32.03,110.77,426.9,2845.895605147866,5308.151423877317,1,0,3,8,0,3,0,6,2,5,3,0,0,3,4,8
57268,湖北,谷城,32.27,111.63,87.8,3286.0644167579494,5837.036623767806,1,3,1,5,0,1,3,4,2,4,0,10,0,3,0,1
57313,四川,巴中,31.87,106.77,417.7,3378.6686746987925,6162.083515881707,1,3,5,0,0,1,3,4,2,4,0,10,0,1,0,1
57381,湖北,随州,31.62,113.33,116.3,3311.4355147864226,5848.920112267255,1,3,1,5,0,1,3,4,2,4,0,10,0,1,0,1
57420,四川,大竹,30.75,107.18,418.0,3318.4516703176446,6095.425041073379,1,3,5,0,0,1,3,4,2,4,0,4,0,1,0,10
57460,湖北,当阳,30.82,111.78,91.8,3439.0167054635085,6093.900657264169,1,3,5,0,0,1,8,8,2,4,0,4,0,1,0,10
57476,湖北,荆州,30.35,112.15,31.8,3515.5636637459006,6182.357406900325,1,3,5,0,0,1,8,8,2,4,0,4,0,1,8,10
57482,湖北,孝感,30.9,113.95,25.5,3409.9265470974797,6000.746919496179,1,3,5,9,0,1,8,8,2,4,0,4,0,1,0,10
57517,四川,江津,29.28,106.25,261.4,3827.542716319823,6709.0887869660155,0,2,0,3,1,0,5,0,0,2,8,6,1,5,8,6
57523,四川,丰都,29.85,107.73,290.5,3798.753491237666,6670.634857612269,0,2,0,3,1,0,5,0,0,2,8,6,1,1,8,6
57545,湖北,来凤,29.53,109.42,502.8,3139.0399780942003,5830.235350492891,1,3,1,5,0,3,7,1,2,4,7,8,0,1,6,4
57554,湖南,桑植,29.4,110.17,322.2,3290.7518483022977,5990.302642387722,1,3,5,9,0,1,3,4,0,4,7,8,0,1,6,4
57646,湖南,古丈,28.62,109.95,302.1,3192.2358296823663,5877.244592004378,1,3,1,5,0,3,7,1,0,1,7,8,0,1,6,4
57717,贵州,遵义,27.53,106.83,974.1,2863.216114457827,5471.137116648427,1,0,3,2,0,3,0,6,0,1,4,9,0,4,3,11
57749,湖南,怀化,27.57,110.0,257.8,3487.5090361445823,6162.2184419496025,1,3,5,0,0,1,8,8,0,1,4,3,1,5,3,7
57789,江西,莲花,27.08,113.57,189.0,3746.9368838992345,6501.602478094177,0,2,0,10,1,0,5,11,0,2,2,1,1,5,7,0
57841,湖南,靖州,26.57,109.67,320.3,3446.8962897042693,6142.114457831324,1,3,5,0,0,1,8,8,0,1,4,3,1,5,3,7
57889,湖南,桂东,26.08,113.95,835.9,3089.1273274917835,5773.9711801752355,1,3,1,5,0,3,7,1,0,1,4,9,1,4,3,11
57912,贵州,惠水,26.13,106.63,990.9,3102.300109529022,5845.347070098562,1,3,1,5,0,3,7,1,0,1,4,9,1,4,3,11
57926,贵州,荔波,25.42,107.88,428.7,3910.9520125958393,6767.296892113919,0,2,0,3,1,0,5,0,0,2,2,1,1,5,7,0
58027,江苏,徐州,34.28,117.15,41.2,3120.2552710843306,5449.453997809442,1,0,3,2,0,3,7,1,2,5,3,11,0,3,4,9
58141,江苏,淮阴,33.63,119.02,14.4,2995.64391346022,5383.257702314119,1,0,3,2,0,3,0,9,2,5,3,11,0,3,4,9
58146,江苏,建湖,33.47,119.77,3.0,2995.64391346022,5383.257702314119,1,0,3,2,0,3,0,9,2,5,3,11,0,3,4,9
58215,安徽,寿县,32.55,116.78,22.7,3149.779093647322,5581.251779846634,1,0,7,11,0,3,7,1,2,5,3,0,0,3,4,9
58240,安徽,天长,32.68,119.02,21.3,3165.740347754663,5622.39923329682,1,0,7,11,0,3,7,1,2,5,3,0,0,3,4,9
58243,江苏,兴化,32.93,119.83,3.0,3155.685857064614,5622.004449616628,1,0,7,11,0,3,7,1,2,5,3,0,0,3,4,9
58250,江苏,姜堰,32.52,120.15,6.2,3069.6979737130346,5540.574069003312,1,0,7,11,0,3,7,1,2,5,3,0,0,3,4,9
58311,安徽,六安,31.73,116.5,74.1,3369.063937568461,5906.113773274886,1,3,1,5,0,1,3,4,2,4,0,10,0,1,0,1
58448,浙江,临安,30.22,119.7,117.6,3325.0330640744733,5929.211117196031,1,3,1,9,0,1,3,4,2,4,7,8,0,1,6,10
58824,福建,明溪,26.4,117.15,357.4,3878.5997398685518,6714.116032311039,0,2,0,3,1,0,5,0,0,2,2,1,1,5,7,0
58825,福建,明溪,26.4,117.15,357.4,3878.5997398685518,6714.116032311039,0,2,0,3,1,0,5,0,0,2,2,1,1,5,7,0
58836,福建,古田,26.58,118.73,361.5,4010.4125136911257,6877.3715772179685,0,2,0,3,1,0,5,10,0,2,2,1,1,5,7,0
59205,云南,富宁,23.65,105.63,685.8,4317.284364731663,7225.235966593703,0,4,6,6,1,5,1,3,1,0,5,7,1,0,1,5
59313,广东,饶平,23.68,116.98,44.7,5081.880407995622,8000.731037787479,2,1,2,1,2,4,6,5,1,0,6,5,2,0,5,3
59314,广东,饶平,23.68,116.98,44.7,5081.880407995622,8000.731037787479,2,1,2,1,2,4,6,5,1,0,6,5,2,0,5,3
59757,海南,琼山,20.0,110.37,9.9,6015.46385542169,8935.46385542165,2,5,4,4,2,2,2,7,1,3,1,2,2,2,2,2
59849,海南,琼中,19.03,109.83,250.9,5529.3352272727425,8449.215292990146,2,1,8,7,2,2,4,2,1,3,1,2,2,2,2,2
